年別,產業發展獎勵補助計畫受補助[貼]人數/總計[人],產業發展獎勵補助計畫受補助[貼]人數/男[人],產業發展獎勵補助計畫受補助[貼]人數/女[人],產業發展獎勵補助計畫受補助[貼]金額/總計[元],產業發展獎勵補助計畫受補助[貼]金額/男[元],產業發展獎勵補助計畫受補助[貼]金額/女[元],青年創業貸款受貸人數/總計[人],青年創業貸款受貸人數/男[人],青年創業貸款受貸人數/女[人],青年創業貸款受貸金額/總計[元],青年創業貸款受貸金額/男[元],青年創業貸款受貸金額/女[元],中小企業經營管理研習班數[班],中小企業經營管理研習人次/總計[人次],中小企業經營管理研習人次/男[人次],中小企業經營管理研習人次/女[人次]
96年,-,-,-,-,-,-,-,-,-,-,-,-,19,13681,-,-
97年,-,-,-,-,-,-,-,-,-,-,-,-,16,4389,-,-
98年,-,-,-,-,-,-,-,-,-,-,-,-,9,2926,-,-
99年,-,-,-,-,-,-,-,-,-,-,-,-,4,240,-,-
100年,95,72,23,96345000,68332000,28013000,105,78,27,76280000,-,-,7,822,-,-
101年,118,103,15,105676320,95513520,10162800,179,109,70,111750000,-,-,18,2677,-,-
102年,168,130,38,161602965,119550005,42052960,222,148,74,156950000,-,-,90,7425,-,-
103年,126,99,27,110693968,83726373,26967595,243,159,84,162300000,-,-,42,3695,-,-
104年,215,168,47,270113500,211462000,58651500,229,166,63,169100000,-,-,29,2547,-,-
105年,197,154,43,249615350,205137350,44478000,193,128,65,130440000,-,-,23,2346,1355,991
106年,212,164,48,313814975,247841025,65973950,197,147,50,135200000,-,-,28,2207,1145,1062
107年,227,167,60,324227700,237328900,86898800,175,121,54,114950000,-,-,11,1041,574,467
108年,251,183,68,361089669,268451623,92638046,168,124,44,136580000,101180000,35400000,10,671,354,317
109年,221,152,69,314574518,225402981,89171537,219,157,62,179810000,133310000,46500000,10,595,179,416
110年,145,110,35,175391122,139592442,35798680,115,90,25,83180000,68380000,14800000,13,750,337,413
111年,99,62,37,119084200,79734200,39350000,186,127,59,139980000,94280000,45700000,8,510,225,285
